vendor,year,amount
Amergis/Maxim,2020-21,364981.0899999999
Amergis/Maxim,2021-22,5300721.449999998
Soliant Health,2021-22,104874.5
Amergis/Maxim,2022-23,14439314.419999998
Pioneer Healthcare,2022-23,261800.0
Soliant Health,2022-23,75048.0
Amergis/Maxim,2023-24,5400750.489999998
Amergis/Maxim,2023-24,8063419.869999999
Pioneer Healthcare,2023-24,6375.0
Soliant Health,2023-24,503603.3099999998
Amergis/Maxim,2024-25,27904822.80000001
Amergis/Maxim,2024-25,46625.25
Soliant Health,2024-25,1502581.2299999997
Amergis/Maxim,2025-26,5734368.38
Soliant Health,2025-26,286807.39999999997
