Category,Metric,2023-24,2024-25,Net Change,Percent Change
District-wide FTE,Total Staffed FTE,"2,736.83","2,519.90",-216.93,-7.93%
Location 1014 (Central Office),FTE,482.74,433.82,-48.92,-10.13%

Salary Tier,Average Salary,Payroll Reduction ($),Payroll Reduction (%),Headcount Details
Executive tier (Roots 11-13),"$183,884","-$522,000",-10.5%,"28 -> 23 admins (comp pool $5.854M -> $5.451M, -6.89%)"
Teacher tier,"$99,418","-$2,100,000",-1.7%,
Support tier,"$48,070","-$78,000",-0.1%,COLAs absorbed headcount savings

Location 1014 Reductions by Duty Root,FTE Reduction
Root 40 (Other Support),-17.58
Root 95 (Maintenance/Grounds/Etc),-15.28
Root 64 (Placement Specialists/Counselors/Etc),-12.10
Root 13 (Other District Administrator),-4.59
